Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Parent,Parent summary,Status Category,Status Category Changed
NC17.1 - Verify State – First character cannot have space,NNB-96,10095,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Chiem Tan Tai (K17 HCM),712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,19/May/24 11:23 AM,23/May/24 8:25 AM,20/Jul/24 2:04 PM,,,0,EDITCUSTOMER,"h1. *T17.1 - Verify State – First character cannot have space*

*Step we will take…….*

# Enter space as the first character

*Success Is…..*

An error message “First character can not have space“ must be shown",,Chiem Tan Tai (K17 HCM),,712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,,,,,,,,,,,NNB-6,,,,,NNB-93,19/May/24 6:40 PM;712020:a1261002-86bd-44e7-9b6b-1bbf2910186f;image-20240519-114016.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10134,,,An error message “Numbers are not allowed“ appeared,,,,,,{},,NNB-6,New Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i000gv:,,,1.0,,NNB Sprint 1,,,,,,,,,Unit,Enter space as the first characte,Fail,,,,,,10005,New Customer,To Do,19/May/24 6:43 PM
EC60.1 - Verify Customer id - First character in Customer ID cannot be space,NNB-72,10071,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,19/May/24 12:52 AM,23/May/24 8:25 AM,20/Jul/24 2:05 PM,,,0,EDITCUSTOMER,"*T60.1* Customer Id - First character cannot have space

*Step we will takes…….*

# Click on the customer id box
# Enter a first character is “space“ (“ “)

*Success Is…..*

An error message “First character can not have space“ must be shown",,Automation for Jira,Le Thanh Nhan (K18 HCM),557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,,NNB-7,,,,,NNB-46,19/May/24 12:56 AM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;Screenshot 2024-05-19 005635.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10050,,,An error message “First character can not have space“ is not shown up,,,,,,{},,NNB-7,Edit Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i000bj:,nó chưa báo lỗi hay gì mà ,,0.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the customer id box
Enter a first character is “space“ (“ “)",Fail,,,2024-05-23 01:25:01.825,,23/May/24 8:25 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Please enter the reason for the 0 score,10006,Edit Customer,To Do,19/May/24 12:52 AM
NC10 - Verify Address - Special characters are not allowed,NNB-68,10067,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Chiem Tan Tai (K17 HCM),712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,19/May/24 12:19 AM,23/May/24 8:24 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"*T26* Telephone Number - First character can not have space

*Step we will take…….*

# Click on the Customer Name field
# Enter the number 
# Press “Submit”

*Success Is…..*

An error message “*Numbers are not allowed*“ must be shown",,Chiem Tan Tai (K17 HCM),,712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,,,,,,,,,,,NNB-6,,,,,NNB-43,19/May/24 12:29 AM;712020:a1261002-86bd-44e7-9b6b-1bbf2910186f;170144ee-9792-4307-852d-abbb3e302621.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10046,,,Do not have anything,,,,,,{},,NNB-6,New Customer,,,An error message “Special characters are not allowed“ must be shown,,,,,0|i0009y:i,,,1.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the Address field

Enter the special characters such as “@“ or “#“",Fail,,,,,,10005,New Customer,To Do,19/May/24 6:43 PM
NC9 - Verify Address - First character can not have space,NNB-67,10066,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Chiem Tan Tai (K17 HCM),712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,19/May/24 12:19 AM,23/May/24 8:23 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"h1. *T9 - Verify Address - First character can not have space*

*Step we will take…….*

# Enter space as the first character

*Success Is…..*

An error message “First character can not have space“ must be shown",,Chiem Tan Tai (K17 HCM),,712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,,,,,,,,,,,NNB-6,,,,,NNB-43,19/May/24 6:33 PM;712020:a1261002-86bd-44e7-9b6b-1bbf2910186f;image-20240519-113332.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10130,,,Do not have anything,,,,,,{},,NNB-6,New Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i0009y:,,,1.0,,NNB Sprint 1,,,,,,,,,Unit,Enter space as the first character,Fail,,,,,,10005,New Customer,To Do,19/May/24 6:43 PM
NC8 - Verify Address - Address Field must not be blank,NNB-65,10064,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Chiem Tan Tai (K17 HCM),712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,19/May/24 12:18 AM,23/May/24 8:23 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"h1. *T8 - Verify Address - Address Field must not be blank*

*Step we will take…….*

# Click on the Address field, but do not enter anything
# Press TAB or click out of the Address field

*Success Is…..*

An error message “Address must not be blank“ must be shown ",,Chiem Tan Tai (K17 HCM),,712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,,,,,,,,,,,NNB-6,,,,,NNB-43,19/May/24 6:31 PM;712020:a1261002-86bd-44e7-9b6b-1bbf2910186f;image-20240519-113119.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10129,,,Do not have anything,,,,,,{},,NNB-6,New Customer,,,An error message “Address must not be blank“ must be shown,,,,,0|i0009x:,"đáng lẽ tui cho 0 tại vì ông phải nhấp hết vào field mang địa chỉ như city,state nhưng như vậy là oke r",,1.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the Address field, but do not enter anything

Press TAB or click out of the Address field",Fail,,,,,,10005,New Customer,To Do,19/May/24 6:43 PM
NC7 - Customer Name - First character cannot have space,NNB-64,10063,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Chiem Tan Tai (K17 HCM),712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,19/May/24 12:18 AM,23/May/24 8:21 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"h1. *T7 - Customer Name - First character cannot have space*

*Step we will take…….*

# Enter space as the first character

*Success Is…..*

An error message “First character can not have space“ must be shown",,Automation for Jira,Chiem Tan Tai (K17 HCM),557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:a1261002-86bd-44e7-9b6b-1bbf2910186f,,,,,,,,,,NNB-6,,,,,NNB-43,19/May/24 6:29 PM;712020:a1261002-86bd-44e7-9b6b-1bbf2910186f;image-20240519-112945.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10128,,,An error message “Numbers are not allowed“ shown,,,,,,{},,NNB-6,New Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i0009v:,bạn phải đánh chữ vào rồi thêm space xem coi nó mới hiện lỗi chứ,,0.0,,NNB Sprint 1,,,,,,,,,Unit,Enter space as the first character,Fail,,,2024-05-23 01:21:00.78,,23/May/24 8:21 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Please enter the reason for the 0 score,10005,New Customer,To Do,19/May/24 6:42 PM
DC47.1 - Verify Customer id - First character in Customer ID cannot have space,NNB-46,10045,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,18/May/24 9:45 PM,23/May/24 8:20 AM,20/Jul/24 2:05 PM,,,0,DELETECUSTOMER,"*T47.1* Customer Id - First character cannot have space

*Step we will takes…….*

# Click on the customer id box
# Enter a first character is “space“ (“ “)

*Success Is…..*

An error message “First character can not have space“ must be shown",,Automation for Jira,Le Thanh Nhan (K18 HCM),557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,,,,,,,NNB-11,,,NNB-72,,,NNB-45,18/May/24 9:52 PM;712020:8b31d960-c8c6-49ce-9816-d177c8e23822;Screenshot 2024-05-18 215140.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10028,,,An error message “First character can not have space“ is not shown up,,,,,,{},,NNB-11,Delete Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i0006v:,hình ảnh không phù hợp với yêu cầu testcase,,0.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the customer id box
Enter a first character is “space“ (“ “)",Fail,,,2024-05-23 01:19:45.957,,23/May/24 8:19 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Please enter the reason for the 0 score,10010,Delete Customer,To Do,18/May/24 9:45 PM
NC29 - Verify Email - First character can not have space,NNB-30,10029,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,18/May/24 7:35 PM,23/May/24 8:19 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"*T29 Email - First character can not have space*

*Step we will takes…….*

# Click on the E-mail field
# Enter the space before entering the email in E-mail field
# Fill in other fields
# Press “Submit”

*Success Is…..*

An error message “First character can not have space“ must be shown and can not submit",,Nguyen Ha Linh (K18 HCM),,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,,NNB-6,,,,,NNB-28,18/May/24 7:38 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;image-20240518-123836.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10010,18/May/24 7:39 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;image-20240518-123946.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10011,,"Do not show any error message.
An error message “Connection failed: Access denied for user 'root'@'localhost' (using password: NO)“ appears when submiting",,,,,,{},,NNB-6,New Customer,,,An error message “First character can not have space“ must be shown and can not submit,,,,,0|i0004b:,,,1.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the E-mail field
Enter the space before entering the email in E-mail field
Fill in other fields
Press “Submit”",Fail,,,,,,10005,New Customer,To Do,18/May/24 7:35 PM
NC26 - Verify Telephone Number - First character can not have space,NNB-26,10025,Bug,Open,NNB,N6_NET1815_Badminton,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,,,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,Nguyen Ha Linh (K18 HCM),712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,18/May/24 6:40 PM,23/May/24 8:19 AM,20/Jul/24 2:05 PM,,,0,NEWCUSTOMER,"*T26* Telephone Number - First character can not have space

*Step we will takes…….*

# Click on the Telephone Number field
# Enter the space before entering the phone number in Telephone Number field 
# Fill in other fields
# Press “Submit”

*Success Is…..*

An error message “First character can not have space“ must be shown",,Automation for Jira,Nguyen Ha Linh (K18 HCM),557058:f58131cb-b67d-43c7-b30d-6b58d40bd077,712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e,,,,,,,,,,NNB-6,,NNB-43,,,NNB-25,18/May/24 6:49 PM;712020:5b2e6ea6-163e-4747-b0a0-4ddefefc017e;image-20240518-114951.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10006,,,"Do not have any error message and ""Connection failed..."" when Submit the form
An error message “Charaters are not allowed“ is shown",,,,,,{},,NNB-6,New Customer,,,An error message “First character can not have space“ must be shown,,,,,0|i0003r:,,,1.0,,NNB Sprint 1,,,,,,,,,Unit,"Click on the Telephone Number field
Enter the space before entering the phone number in Telephone Number field 
Fill in other fields
Press “Submit”",Skip,,,2024-05-23 01:18:42.746,,23/May/24 8:18 AM;557058:f58131cb-b67d-43c7-b30d-6b58d40bd077;Please enter the reason for the 0 score,10005,New Customer,To Do,19/May/24 6:10 PM
UC11 - View Booking List - Searching Booking ID,N6NET1815-125,10261,Testcases,Open,N6NET1815,N6_NET1815_SWP,software,Le Thanh Nhan (K18 HCM),712020:8b31d960-c8c6-49ce-9816-d177c8e23822,,,Medium,,Tran Thanh Dat (K18 HCM),712020:b56f2d24-5bd0-47a1-9c99-add67de1b70f,Tran Thanh Dat (K18 HCM),712020:b56f2d24-5bd0-47a1-9c99-add67de1b70f,Tran Thanh Dat (K18 HCM),712020:b56f2d24-5bd0-47a1-9c99-add67de1b70f,17/Jul/24 12:39 PM,17/Jul/24 12:44 PM,20/Jul/24 1:58 PM,,,0,,"h4. View Booking List - Searching Booking ID

Staff can view booking list and search booking Id",,Tran Thanh Dat (K18 HCM),,712020:b56f2d24-5bd0-47a1-9c99-add67de1b70f,,,,,,,,,,N6NET1815-124,N6NET1815-5,,,,,,17/Jul/24 12:41 PM;712020:b56f2d24-5bd0-47a1-9c99-add67de1b70f;Screenshot 2024-07-17 124125.png;https://lethanhnhan09012004.atlassian.net/rest/api/3/attachment/content/10233,,,The booking Id that you want will be shown,,,,,,{},,N6NET1815-5,Booking Management,,,The booking Id that you want will be shown,,purple,,,0|i0017j:,,,,,Sprint 2,,,,,,,,,,"1. Go to Booking page
2. View the booking list
3. Choose a booking want to search",,,,,,,10141,Booking Management,To Do,17/Jul/24 12:39 PM
